User_ID,Age,Gender,Daily_Screen_Time(hrs),Sleep_Quality(1-10),Stress_Level(1-10),Days_Without_Social_Media,Exercise_Frequency(week),Social_Media_Platform,Happiness_Index(1-10),Risk_Score,Risk_Tier
U073,39,Male,6.1,5,5,1,5,Other,10,3.12,Low
U074,26,Female,4.8,6,6,1,4,LinkedIn,8,3.51,Moderate
U075,32,Female,4.2,8,8,5,2,LinkedIn,8,3.59,Moderate
U076,23,Male,4.2,7,5,0,1,X,10,2.83,Low
U077,48,Female,9.7,4,8,5,1,LinkedIn,5,6.05,Elevated
U078,20,Female,7.2,6,9,1,2,Instagram,6,5.45,Moderate
U079,43,Other,4.0,7,7,2,4,YouTube,9,3.23,Low
U080,22,Male,5.8,6,8,3,2,X,7,4.6,Moderate
U081,24,Female,4.8,6,7,2,2,Instagram,8,3.97,Moderate
U082,23,Female,6.6,6,8,5,1,LinkedIn,8,4.51,Moderate
U083,27,Male,6.5,7,9,7,2,Netflix,8,4.38,Moderate
U084,49,Male,7.5,4,7,2,4,X,8,4.65,Moderate
U085,48,Other,4.0,7,5,2,5,LinkedIn,10,2.29,Low
U086,38,Female,5.7,5,6,3,2,Flipkart,9,3.76,Moderate
U087,39,Male,2.4,7,4,4,2,Facebook,10,1.9,Low
U088,37,Female,3.2,8,7,3,1,X,10,2.92,Low
U089,42,Male,7.1,3,8,6,5,Instagram,6,5.19,Moderate
U090,16,Male,3.8,10,6,5,0,X,10,2.24,Low
U091,29,Male,4.0,6,4,1,4,YouTube,9,2.54,Low
U092,18,Male,5.5,6,6,4,2,LinkedIn,9,3.45,Low
U093,16,Male,6.8,7,6,6,2,LinkedIn,9,3.33,Low
U094,20,Male,3.6,7,7,2,1,X,8,3.66,Moderate
U095,41,Female,1.0,7,5,2,6,Whatsapp,10,1.71,Low
U096,29,Male,3.9,7,6,2,3,Other,10,2.79,Low
U097,42,Male,7.7,4,7,2,3,Facebook,8,4.78,Moderate
U098,24,Female,6.1,4,9,0,4,Facebook,6,5.58,Moderate
U099,30,Female,7.9,5,8,0,2,LinkedIn,8,5.12,Moderate
U100,30,Female,3.5,8,4,3,3,Facebook,10,1.81,Low
U101,41,Male,2.5,9,4,6,3,Instagram,10,1.26,Low
U102,28,Male,6.3,5,7,2,2,Facebook,7,4.63,Moderate
U103,47,Male,5.9,4,7,2,4,Instagram,7,4.59,Moderate
U104,47,Male,6.0,6,7,6,2,Facebook,9,3.74,Moderate
U105,19,Male,7.2,5,6,1,0,LinkedIn,9,4.31,Moderate
U106,45,Male,6.3,7,8,0,2,LinkedIn,6,4.83,Moderate
U107,38,Male,6.2,7,7,1,3,Instagram,9,3.73,Moderate
U108,30,Male,6.8,7,7,2,1,X,10,3.77,Moderate
U109,44,Male,6.4,6,8,0,1,LinkedIn,7,4.96,Moderate
U110,28,Male,7.0,6,6,3,2,X,8,3.95,Moderate
U111,47,Male,7.3,4,6,5,4,Instagram,8,4.12,Moderate
U112,22,Female,8.3,5,10,0,2,Instagram,6,6.23,Elevated
U113,37,Female,4.3,6,8,3,5,LinkedIn,9,3.66,Moderate
U114,43,Male,6.4,6,7,4,2,YouTube,7,4.32,Moderate
U115,17,Female,4.8,7,6,3,3,Instagram,10,2.88,Low
U116,21,Female,4.0,9,5,3,2,X,10,2.09,Low
U117,43,Male,4.3,7,6,3,4,LinkedIn,9,2.9,Low
U118,43,Female,6.4,6,7,1,1,Instagram,9,4.19,Moderate
U119,35,Female,6.3,6,7,6,4,Facebook,9,3.59,Moderate
U120,45,Male,6.2,5,8,5,3,YouTube,8,4.47,Moderate
U121,26,Male,5.1,6,5,5,2,X,9,3.01,Low
U122,43,Female,5.5,8,6,5,2,Amazon Prime,10,2.75,Low
U123,40,Female,7.0,4,6,0,5,Instagram,8,4.26,Moderate
U124,48,Male,2.8,7,5,5,3,YouTube,10,2.12,Low
U125,16,Male,5.5,7,7,4,1,Instagram,9,3.65,Moderate
U126,42,Male,5.7,7,7,0,1,LinkedIn,9,3.91,Moderate
U127,28,Female,6.9,5,8,3,3,Facebook,8,4.69,Moderate
U128,18,Female,3.1,7,6,4,3,YouTube,9,2.75,Low
U129,21,Male,8.2,5,7,6,4,Instagram,7,4.51,Moderate
U130,23,Male,5.9,5,5,4,0,X,9,3.62,Moderate
U131,42,Female,6.0,5,8,1,1,LinkedIn,7,5.06,Moderate
U132,24,Male,4.8,8,4,6,4,LinkedIn,10,1.75,Low
U133,48,Male,6.5,6,8,3,3,JioTv,8,4.41,Moderate
U134,39,Female,5.6,8,6,2,3,LinkedIn,9,3.04,Low
U135,30,Female,7.7,4,10,2,1,X,8,5.94,Moderate
U136,47,Female,2.9,8,5,0,1,Instagram,10,2.4,Low
U137,47,Female,5.8,6,7,3,4,YouTube,10,3.48,Low
U138,39,Male,6.2,5,8,4,4,LinkedIn,7,4.62,Moderate
U139,27,Male,5.2,7,5,2,1,LinkedIn,10,2.88,Low
U140,17,Female,4.8,8,5,4,1,X,10,2.48,Low
U141,18,Male,4.8,6,5,1,2,Facebook,10,2.99,Low
U142,32,Male,5.8,6,6,3,1,Facebook,10,3.46,Low
U143,17,Male,2.2,10,5,4,1,LinkedIn,10,1.62,Low
U144,17,Male,7.2,7,8,3,1,Instagram,8,4.5,Moderate
U145,43,Male,4.6,8,7,0,2,JioTv,9,3.42,Low
U146,38,Male,5.7,7,5,2,1,LinkedIn,10,2.96,Low
U147,47,Male,6.2,5,7,6,1,YouTube,9,4.09,Moderate
U148,48,Male,4.6,7,5,2,3,YouTube,10,2.58,Low
U149,16,Female,5.3,7,6,3,2,Facebook,10,3.06,Low
U150,34,Female,1.8,9,7,3,3,LinkedIn,10,2.28,Low
U151,17,Female,6.8,5,8,6,0,X,6,5.21,Moderate
U152,41,Female,7.4,4,9,6,3,YouTube,5,5.74,Moderate
U153,47,Female,2.4,7,7,5,6,LinkedIn,9,2.6,Low
U154,21,Male,4.8,5,7,1,2,Instagram,8,4.25,Moderate
U155,47,Female,3.3,8,5,4,4,YouTube,10,1.94,Low
U156,19,Female,5.2,7,5,4,4,LinkedIn,10,2.46,Low
U157,26,Female,6.7,5,7,2,4,Instagram,8,4.3,Moderate
U158,32,Male,7.3,5,7,1,3,YouTube,8,4.55,Moderate
U159,39,Male,7.5,5,6,6,3,Instagram,7,4.18,Moderate
U160,20,Male,7.9,5,9,2,4,Instagram,5,5.73,Moderate
U161,49,Male,5.1,5,7,6,3,YouTube,8,3.91,Moderate
U162,21,Female,3.4,9,7,5,1,YouTube,8,3.02,Low
U163,37,Female,5.3,7,6,4,0,Instagram,10,3.2,Low
U164,26,Male,6.6,6,8,4,0,Facebook,8,4.67,Moderate
U165,31,Other,3.3,9,5,0,2,YouTube,10,2.15,Low
U166,48,Female,8.5,4,10,3,3,LinkedIn,8,5.81,Moderate
U167,24,Male,7.1,6,8,6,1,Netflix,7,4.73,Moderate
U168,21,Male,5.1,6,5,4,4,X,10,2.67,Low
U169,31,Male,4.2,8,6,3,2,Instagram,10,2.66,Low
U170,44,Male,4.3,8,6,6,2,Instagram,10,2.51,Low
U171,18,Male,5.6,5,7,3,1,X,6,4.76,Moderate
U172,35,Male,5.1,7,7,2,0,Facebook,7,4.2,Moderate
U173,34,Male,7.2,6,6,3,3,X,8,3.88,Moderate
U174,41,Male,4.9,7,5,5,5,YouTube,10,2.26,Low
U175,18,Female,6.4,6,8,0,2,X,8,4.66,Moderate
U176,34,Male,5.4,6,6,4,0,Instagram,10,3.44,Low
U177,35,Female,6.0,7,7,5,4,X,8,3.57,Moderate
U178,47,Male,5.1,7,4,2,0,YouTube,9,2.84,Low
U179,22,Other,6.8,5,10,5,1,LinkedIn,7,5.6,Moderate
U180,48,Male,6.8,4,7,4,2,YouTube,7,4.82,Moderate
U181,33,Male,6.3,6,8,7,3,X,6,4.55,Moderate
U182,16,Other,6.6,6,7,1,1,Instagram,8,4.42,Moderate
U183,26,Female,3.8,10,6,5,2,LinkedIn,10,2.04,Low
U184,43,Female,6.1,7,9,1,4,YouTube,7,4.66,Moderate
U185,40,Male,7.7,3,9,0,4,Instagram,5,6.25,Elevated
U186,38,Male,6.4,6,7,0,4,Facebook,8,4.14,Moderate
U187,46,Female,3.6,9,5,4,5,YouTube,10,1.67,Low
U188,45,Female,5.4,7,8,3,4,Facebook,7,4.11,Moderate
U189,22,Female,6.2,6,9,2,2,Instagram,6,5.24,Moderate
U190,31,Female,4.1,8,6,0,4,X,10,2.62,Low
U191,41,Male,3.1,7,7,2,3,YouTube,9,3.18,Low
U192,17,Female,4.9,7,6,3,3,X,10,2.89,Low
U193,16,Male,4.2,7,7,5,3,Snapchat,8,3.39,Low
U194,27,Male,5.5,6,8,3,1,Instagram,7,4.65,Moderate
U195,20,Male,2.6,9,4,4,1,YouTube,10,1.59,Low
U196,47,Female,6.5,5,7,2,2,LinkedIn,8,4.47,Moderate
U197,24,Male,4.4,8,7,6,3,Instagram,10,2.74,Low
U198,34,Male,7.3,5,7,1,1,YouTube,6,5.15,Moderate
U199,31,Female,5.0,7,5,2,3,X,10,2.65,Low
U200,18,Male,5.5,5,6,2,6,X,9,3.39,Low
U201,35,Female,5.2,7,6,4,0,Facebook,10,3.18,Low
U202,39,Male,4.3,9,7,1,3,Instagram,9,2.99,Low
U203,48,Female,10.0,3,10,3,2,Netflix,4,7.17,Elevated
U204,39,Female,4.6,6,7,3,3,Flipkart,6,4.18,Moderate
U205,26,Male,7.3,5,8,2,2,X,7,5.11,Moderate
U206,23,Male,3.5,9,5,4,2,Facebook,10,1.95,Low
U207,35,Male,6.2,4,8,1,3,Instagram,7,5.11,Moderate
U208,40,Male,6.4,5,8,1,2,LinkedIn,7,5.03,Moderate
U209,40,Other,5.5,6,7,3,0,YouTube,9,4.03,Moderate
U210,44,Male,4.5,6,6,0,2,Instagram,9,3.52,Moderate
U211,33,Female,5.0,6,6,0,0,X,8,4.0,Moderate
U212,33,Male,4.8,5,6,4,3,LinkedIn,9,3.46,Low
U213,17,Female,9.8,4,9,5,0,LinkedIn,6,6.28,Elevated
U214,31,Female,5.5,7,7,2,4,LinkedIn,9,3.47,Low
U215,48,Female,6.4,4,6,2,3,YouTube,7,4.45,Moderate
U216,19,Female,8.7,6,7,5,3,YouTube,10,3.93,Moderate
U217,48,Male,3.9,9,5,1,0,X,10,2.39,Low
U218,29,Male,5.6,6,6,0,2,X,8,3.9,Moderate
U219,36,Female,5.0,8,6,4,4,LinkedIn,10,2.53,Low
U220,35,Female,5.3,6,6,3,2,X,9,3.48,Low
U221,23,Other,5.2,7,6,5,1,YouTube,9,3.23,Low
U222,22,Male,4.2,6,6,0,2,YouTube,8,3.67,Moderate
U223,18,Female,5.9,8,6,0,2,Facebook,8,3.5,Low
U224,32,Female,3.6,7,5,3,1,Facebook,10,2.56,Low
U225,48,Male,7.3,5,9,4,4,Instagram,5,5.52,Moderate
U226,27,Male,6.6,5,7,5,2,YouTube,7,4.51,Moderate
U227,37,Female,4.6,9,6,3,2,YouTube,8,2.9,Low
U228,37,Female,4.7,9,6,3,1,YouTube,10,2.62,Low
U229,45,Female,6.0,8,7,2,3,Facebook,9,3.43,Low
U230,23,Male,4.1,8,5,6,3,LinkedIn,10,2.05,Low
U231,42,Female,8.8,4,8,1,1,LinkedIn,6,5.93,Moderate
U232,42,Male,6.1,7,6,4,0,X,8,3.73,Moderate
U233,49,Male,6.2,6,8,1,3,LinkedIn,8,4.47,Moderate
U234,36,Male,6.7,7,7,4,2,Netflix,8,3.94,Moderate
U235,45,Female,4.5,8,6,1,3,Facebook,10,2.72,Low
U236,48,Female,7.5,4,9,4,5,YouTube,5,5.67,Moderate
U237,43,Female,5.7,7,7,3,2,LinkedIn,9,3.64,Moderate
U238,48,Male,7.2,6,8,6,2,Facebook,9,4.25,Moderate
U239,20,Female,5.1,4,5,2,1,LinkedIn,9,3.72,Moderate
U240,34,Male,7.9,6,8,4,2,Instagram,7,4.88,Moderate
U241,19,Female,6.2,5,7,1,3,YouTube,8,4.37,Moderate
U242,32,Male,9.4,3,9,2,3,Instagram,5,6.51,Elevated
U243,43,Male,4.8,6,5,3,5,YouTube,10,2.58,Low
U244,45,Male,5.9,6,8,0,3,Facebook,7,4.68,Moderate
U245,44,Male,3.6,8,5,0,2,X,10,2.42,Low
U246,21,Female,4.5,6,6,4,1,LinkedIn,9,3.39,Low
U247,39,Female,6.6,6,7,3,3,LinkedIn,7,4.3,Moderate
U248,44,Male,7.5,6,9,2,1,LinkedIn,6,5.55,Moderate
U249,46,Female,10.8,5,10,2,3,Instagram,4,6.69,Elevated
U250,48,Male,5.3,5,5,2,3,LinkedIn,8,3.53,Moderate
U251,36,Female,3.8,7,5,3,2,Facebook,9,2.7,Low
U252,47,Female,6.9,6,8,4,2,X,8,4.52,Moderate
U253,38,Female,3.5,9,4,0,0,Facebook,10,2.06,Low
U254,48,Male,6.5,5,8,6,4,Instagram,8,4.36,Moderate
U255,18,Female,4.6,8,7,6,3,Instagram,9,2.97,Low
U256,33,Female,5.9,4,7,0,3,LinkedIn,5,5.2,Moderate
U257,40,Male,7.5,4,8,5,0,Facebook,7,5.39,Moderate
U258,46,Male,5.3,7,8,5,5,YouTube,9,3.48,Low
U259,18,Female,7.2,4,7,3,2,X,6,5.14,Moderate
U260,39,Female,7.1,4,8,0,2,Facebook,7,5.42,Moderate
U261,47,Female,2.1,8,4,5,1,X,10,1.67,Low
U262,37,Female,3.9,8,6,3,0,LinkedIn,10,2.81,Low
U263,38,Female,2.7,6,3,4,4,YouTube,10,1.64,Low
U264,17,Male,9.1,4,9,7,4,Instagram,4,6.06,Elevated
U265,42,Male,5.3,7,7,4,2,Other,8,3.72,Moderate
U266,17,Male,8.7,4,8,1,1,YouTube,7,5.71,Moderate
U267,41,Female,2.6,8,4,2,2,X,10,1.82,Low
U268,32,Male,4.5,7,6,1,2,LinkedIn,8,3.44,Low
U269,48,Female,6.9,5,9,4,1,Facebook,6,5.56,Moderate
U270,24,Female,5.8,8,6,1,2,YouTube,10,3.03,Low
U271,44,Female,6.5,5,6,2,3,Instagram,8,4.05,Moderate
U272,41,Male,3.2,8,6,0,4,X,10,2.47,Low
U273,40,Female,8.0,5,8,3,3,Others,6,5.27,Moderate
U274,39,Male,6.9,5,7,3,0,YouTube,9,4.47,Moderate
U275,28,Female,6.2,3,8,0,3,Instagram,5,5.79,Moderate
U276,22,Male,4.3,7,5,4,2,X,10,2.52,Low
U277,35,Male,6.1,7,8,3,5,Instagram,9,3.72,Moderate
U278,16,Female,5.0,7,6,1,5,YouTube,10,2.82,Low
U279,23,Male,2.5,9,5,7,5,X,10,1.32,Low
U280,31,Male,5.4,5,8,5,2,Instagram,7,4.64,Moderate
U281,29,Female,5.2,7,6,1,5,YouTube,10,2.85,Low
U282,27,Female,7.4,4,9,5,3,Facebook,5,5.8,Moderate
U283,38,Female,1.5,9,4,5,5,LinkedIn,10,0.95,Low
U284,30,Female,5.9,6,9,3,2,YouTube,7,4.93,Moderate
U285,43,Female,3.4,7,7,4,2,X,10,3.02,Low
U286,49,Male,6.1,5,6,4,3,LinkedIn,9,3.67,Moderate
U287,17,Male,6.2,6,8,0,3,YouTube,7,4.73,Moderate
U288,47,Male,5.3,6,6,3,4,Instagram,9,3.28,Low
U289,38,Female,7.0,4,8,3,2,Instagram,6,5.43,Moderate
U290,37,Female,3.3,7,5,6,4,Facebook,9,2.25,Low
U291,40,Male,7.5,5,7,4,4,LinkedIn,9,4.11,Moderate
U292,37,Male,4.2,9,7,2,2,LinkedIn,8,3.22,Low
U293,37,Other,2.7,8,5,3,3,X,10,2.0,Low
U294,21,Male,5.0,7,6,5,2,X,10,2.89,Low
U295,30,Female,1.7,9,4,3,6,YouTube,10,1.0,Low
U296,48,Female,6.0,5,7,2,0,Instagram,7,4.79,Moderate
U297,23,Female,5.0,5,7,2,4,Instagram,8,4.03,Moderate
U298,20,Male,7.7,4,8,5,0,YouTube,5,5.83,Moderate
U299,19,Female,6.7,6,5,4,2,Facebook,9,3.32,Low
U300,21,Female,3.0,8,5,3,2,LinkedIn,10,2.15,Low
U301,47,Female,4.0,8,4,3,5,Facebook,10,1.69,Low
U302,45,Female,6.4,6,7,2,1,Facebook,7,4.53,Moderate
U303,31,Female,7.0,5,6,3,4,YouTube,8,3.97,Moderate
U304,28,Female,7.7,4,7,2,1,Facebook,7,5.18,Moderate
U305,45,Male,7.7,6,9,2,5,YouTube,6,5.18,Moderate
U306,34,Female,5.3,6,6,6,2,YouTube,10,3.11,Low
U307,32,Female,6.2,5,7,1,3,Instagram,7,4.57,Moderate
U308,34,Male,7.8,5,9,2,2,YouTube,6,5.71,Moderate
U309,43,Female,5.0,5,6,0,4,Facebook,8,3.82,Moderate
U310,41,Female,6.2,8,9,0,4,Instagram,7,4.51,Moderate
U311,41,Female,4.9,7,6,3,3,Instagram,9,3.09,Low
U312,38,Male,4.5,7,6,2,1,Snapchat,9,3.29,Low
U313,24,Male,5.6,5,8,7,1,YouTube,7,4.66,Moderate
U314,27,Other,4.3,7,7,2,1,X,8,3.77,Moderate
U315,16,Female,5.3,6,6,6,0,Facebook,9,3.51,Moderate
U316,16,Male,3.6,7,5,5,4,Snapchat,10,2.15,Low
U317,49,Female,5.2,7,8,3,2,LinkedIn,8,4.08,Moderate
U318,47,Female,6.3,5,8,7,2,X,8,4.47,Moderate
U319,40,Female,4.4,8,7,4,5,LinkedIn,8,3.06,Low
U320,16,Female,5.5,9,5,6,2,Facebook,10,2.16,Low
U321,31,Male,5.8,6,8,6,1,Facebook,7,4.53,Moderate
U322,20,Male,6.3,6,6,4,2,Netflix,8,3.78,Moderate
U323,37,Male,5.3,7,7,5,1,Instagram,8,3.76,Moderate
U324,44,Female,7.5,7,8,4,3,YouTube,9,4.09,Moderate
U325,18,Male,1.7,9,3,1,2,X,10,1.19,Low
U326,27,Male,10.8,2,9,3,2,X,5,6.87,Elevated
U327,41,Male,3.9,6,4,5,2,YouTube,9,2.5,Low
U328,31,Female,6.2,6,7,6,2,Facebook,8,3.97,Moderate
U329,37,Female,3.8,7,4,2,3,YouTube,10,2.13,Low
U330,44,Male,6.7,8,6,4,2,Facebook,10,3.0,Low
U331,29,Male,6.0,8,7,3,2,Facebook,7,3.87,Moderate
U332,43,Female,4.3,6,3,3,2,Flipkart,10,2.16,Low
U333,20,Male,7.4,4,9,4,2,Instagram,6,5.76,Moderate
U334,45,Male,5.2,7,4,3,3,X,10,2.3,Low
U335,20,Male,6.5,7,7,4,1,LinkedIn,7,4.21,Moderate
U336,27,Male,3.8,8,6,6,4,Facebook,10,2.23,Low
U337,31,Male,5.4,6,7,5,3,Facebook,8,3.8,Moderate
U338,41,Female,9.1,4,9,4,2,Instagram,7,5.83,Moderate
U339,41,Male,7.2,5,10,7,3,LinkedIn,7,5.35,Moderate
U340,36,Female,6.1,7,7,5,2,YouTube,9,3.59,Moderate
U341,48,Male,4.7,6,7,3,0,Instagram,8,4.1,Moderate
U342,45,Female,5.6,6,6,1,3,LinkedIn,7,3.94,Moderate
U343,38,Female,5.9,7,7,1,1,Instagram,8,4.09,Moderate
U344,25,Male,6.3,5,9,5,4,Facebook,8,4.7,Moderate
U345,20,Female,3.6,6,5,2,2,X,10,2.74,Low
U346,49,Male,6.7,6,8,1,4,Instagram,8,4.45,Moderate
U347,46,Other,3.5,7,6,1,2,YouTube,10,2.88,Low
U348,25,Male,8.4,5,8,2,3,TikTok,8,4.99,Moderate
U349,34,Male,4.1,8,4,5,4,LinkedIn,10,1.69,Low
U350,47,Male,6.0,6,7,3,2,Instagram,8,4.11,Moderate
U351,16,Other,7.3,5,9,0,2,Instagram,8,5.35,Moderate
U352,20,Female,5.0,6,5,3,3,YouTube,9,3.01,Low
U353,19,Female,6.1,6,8,3,3,X,9,4.14,Moderate
U354,31,Male,8.1,5,9,2,2,Instagram,6,5.76,Moderate
U355,39,Female,6.5,5,5,5,0,Instagram,10,3.45,Low
U356,31,Male,6.1,6,6,2,2,X,8,3.86,Moderate
U357,17,Female,2.5,9,4,5,4,YouTube,10,1.21,Low
U358,43,Male,3.8,8,5,4,1,LinkedIn,10,2.32,Low
U359,47,Male,7.4,6,7,5,2,LinkedIn,7,4.42,Moderate
U360,42,Male,6.5,5,7,1,2,Instagram,8,4.52,Moderate
U361,35,Female,6.8,4,9,3,0,X,7,5.72,Moderate
U362,39,Female,6.6,6,7,3,1,Instagram,7,4.5,Moderate
U363,27,Male,7.8,5,8,0,4,Netflix,6,5.31,Moderate
U364,48,Female,5.0,8,6,5,0,LinkedIn,10,2.87,Low
U365,48,Male,5.7,7,7,1,3,Facebook,9,3.65,Moderate
U366,27,Female,3.6,8,5,2,1,Myntra,10,2.4,Low
U367,18,Male,3.2,9,5,1,3,Instagram,10,1.97,Low
U368,16,Male,2.5,8,4,4,4,YouTube,10,1.49,Low
U369,48,Female,3.9,6,5,0,2,LinkedIn,10,2.9,Low
U370,25,Male,8.3,5,8,4,2,Facebook,7,5.16,Moderate
U371,44,Male,2.7,9,5,5,1,Other,10,1.87,Low
U372,28,Female,5.0,7,5,4,0,LinkedIn,9,3.03,Low
U373,27,Other,3.2,9,6,4,5,X,10,1.92,Low
U374,46,Male,4.4,7,7,5,1,YouTube,8,3.62,Moderate
U375,17,Male,5.8,6,7,1,5,Amazon Prime,9,3.69,Moderate
U376,38,Female,4.2,8,5,6,1,X,10,2.27,Low
U377,32,Male,7.5,4,7,2,3,Instagram,6,5.15,Moderate
U378,41,Male,8.3,4,10,3,1,X,6,6.38,Elevated
U379,23,Male,1.5,9,3,2,3,Other,10,1.01,Low
U380,44,Female,4.3,8,7,4,2,Snapchat,10,2.94,Low
U381,41,Female,5.6,6,7,2,2,Instagram,9,3.9,Moderate
U382,25,Male,7.5,4,8,3,3,X,7,5.21,Moderate
U383,41,Male,4.7,6,6,1,2,X,9,3.49,Low
U384,49,Male,5.5,7,5,5,0,Instagram,10,2.85,Low
U385,22,Female,3.4,8,6,4,4,X,10,2.28,Low
U386,19,Male,2.7,8,5,2,1,LinkedIn,9,2.46,Low
U387,26,Male,8.1,5,7,2,3,Instagram,7,4.82,Moderate
U388,44,Female,2.2,9,4,4,4,YouTube,10,1.22,Low
U389,40,Male,9.7,4,10,2,2,Netflix,6,6.56,Elevated
U390,36,Female,6.8,5,8,3,4,YouTube,8,4.58,Moderate
U391,25,Male,6.7,7,7,5,3,LinkedIn,8,3.79,Moderate
U392,24,Male,6.5,7,6,1,1,LinkedIn,7,4.06,Moderate
U393,39,Male,5.0,5,6,4,5,Facebook,8,3.49,Low
U394,33,Female,6.2,6,7,4,1,Facebook,9,3.98,Moderate
